price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,height,city,district
6.399,150.0,3.0,4.0,1,1,1,1,0,3.0,4.0,13.0,0,1
3.95,41.0,5.0,4.0,1,1,1,1,0,3.0,4.785596879535559,14.383711086411271,1,0
6.15,45.0,5.0,4.0,1,1,1,1,0,4.0,4.0,12.0,1,1
3.3,44.0,4.0,4.0,1,1,1,1,0,5.0,4.785596879535559,14.383711086411271,1,1
4.8,40.0,4.0,4.0,0,0,0,0,0,4.0,4.0,10.0,1,1
16.0,112.0,6.0,6.0,1,1,1,1,1,20.0,5.0,14.383711086411271,1,1
3.4,48.0,3.0,3.0,1,1,1,1,0,3.0,6.0,8.0,1,0
3.8,60.0,3.0,3.0,1,1,1,1,0,5.0,5.0,12.0,0,1
31.5,146.0,3.0,8.0,0,0,0,0,0,7.0,4.785596879535559,14.383711086411271,0,1
5.87,70.0,4.0,4.0,0,0,0,0,0,5.0,4.785596879535559,14.383711086411271,1,0
16.0,82.0,3.0,4.0,0,0,0,0,1,16.0,3.95,21.0,0,1
7.3,76.0,3.0,4.0,0,0,0,0,0,6.0,4.785596879535559,14.383711086411271,0,1
6.3,46.0,5.0,4.0,0,0,0,0,0,6.0,4.2,11.0,0,1
15.0,82.0,5.0,6.0,1,1,1,1,1,8.0,7.0,14.383711086411271,1,1
3.1,41.0,1.0,2.0,1,1,1,1,0,8.0,3.7,10.0,0,1
4.3,40.0,5.0,5.0,1,1,1,1,0,6.0,5.0,14.383711086411271,1,0
3.3,62.0,1.0,2.0,0,0,0,0,0,5.0,5.2,12.0,0,0
3.4,47.0,5.0,3.0,0,0,0,0,0,3.0,4.785596879535559,3.0,1,0
3.6,34.0,3.0,2.0,0,0,0,0,0,4.0,4.2,14.383711086411271,1,0
3.6,30.0,2.0,2.0,0,0,0,0,1,12.0,5.0,6.0,0,1
13.0,67.0,6.0,8.0,1,1,1,1,0,8.0,5.0,13.0,1,1
4.5,51.0,1.0,1.0,1,1,1,1,0,8.0,3.5,15.0,1,1
3.5,35.0,4.0,2.0,0,0,0,0,0,3.0,5.0,7.0,1,1
13.8,100.0,4.0,4.0,1,1,1,1,0,10.0,4.785596879535559,14.383711086411271,1,1
5.1,44.0,3.0,5.0,1,1,1,0,0,3.5,4.0,11.0,0,1
5.0,50.0,4.0,5.0,0,0,0,0,1,5.0,4.0,12.0,0,1
15.0,130.0,1.0,2.0,1,1,1,1,0,4.0,9.3,14.0,0,1
5.88,40.0,4.0,4.0,0,1,1,1,0,4.0,4.2,9.1,0,1
4.95,39.0,2.0,2.0,1,1,1,1,0,6.0,4.6,12.0,0,1
20.5,106.0,5.0,3.0,0,0,0,0,0,20.0,4.785596879535559,14.383711086411271,1,1
22.5,105.0,3.0,4.0,1,1,1,1,1,10.0,9.0,12.0,1,1
5.6,70.0,3.0,2.0,0,0,0,1,1,4.0,7.2,9.8,0,1
18.5,86.0,3.0,4.0,0,0,0,0,1,15.0,3.8,23.0,0,1
24.0,100.0,3.0,5.0,1,1,1,1,1,10.0,4.0,25.0,0,1
6.7,97.0,4.0,4.0,1,1,1,1,0,5.0,4.4,21.0,0,1
5.0,50.0,5.0,4.0,0,0,0,0,1,5.0,5.0,14.383711086411271,1,1
5.99,34.0,5.0,3.0,0,0,0,0,0,3.0,3.6,14.383711086411271,1,1
10.2,67.0,4.0,3.0,1,1,1,1,1,5.0,5.0,14.383711086411271,1,1
7.3,100.0,5.0,4.0,1,1,1,1,1,8.0,4.0,25.0,0,0
4.8,53.0,5.0,4.0,1,1,1,0,0,3.0,4.0,14.383711086411271,1,1
25.0,120.0,5.0,5.0,1,1,1,1,1,16.0,4.0,30.0,0,1
6.0,86.0,3.0,6.0,0,0,0,0,0,5.0,4.785596879535559,14.383711086411271,0,1
2.97,32.0,5.0,3.0,1,1,1,1,0,3.0,4.5,8.0,1,0
3.6,54.0,4.0,4.0,1,1,1,0,0,3.0,3.5,14.383711086411271,1,0
11.9,55.0,5.0,4.0,1,1,1,1,0,5.0,4.5,14.383711086411271,1,1
13.0,120.0,1.0,3.0,0,0,0,0,1,20.0,4.0,30.0,0,1
2.55,29.0,4.0,3.0,1,1,1,1,0,3.0,4.0,14.383711086411271,1,1
3.0,25.0,4.0,2.0,1,1,1,1,1,5.0,4.0,14.383711086411271,1,0
6.9,75.0,1.0,1.0,1,1,0,1,1,8.0,4.5,14.383711086411271,0,1
10.5,65.0,5.0,4.0,1,1,1,1,0,6.0,4.0,16.0,1,1
1.55,64.0,3.0,5.0,1,1,1,0,0,7.0,4.0,16.0,0,1
8.78,140.0,2.0,4.0,1,1,1,1,0,10.0,4.785596879535559,14.383711086411271,1,0
17.8,33.0,6.0,6.0,1,1,1,1,1,10.0,6.0,14.383711086411271,1,1
4.2,50.0,2.0,3.0,0,0,0,0,0,5.0,4.785596879535559,14.383711086411271,0,1
6.5,72.0,2.0,3.0,0,0,0,0,0,5.0,6.0,12.0,0,1
2.7,31.0,5.0,3.0,0,0,0,0,0,2.3,4.785596879535559,14.383711086411271,1,0
3.4,30.0,4.0,3.0,1,1,1,1,0,3.0,3.5,14.383711086411271,1,1
22.0,64.0,5.0,5.0,0,0,0,0,1,16.0,4.0,16.0,0,1
3.25,35.0,4.0,4.0,1,1,1,1,0,5.0,4.0,9.0,1,0
13.5,70.0,7.0,5.0,1,1,1,1,0,11.0,5.0,14.0,1,1
10.3,59.0,2.0,5.0,0,0,1,0,0,8.0,4.5,13.0,0,1
8.2,73.0,3.803934157259287,5.0,1,1,1,1,0,8.0,4.25,17.0,0,1
